서비스 ID,시설코드,시군구 코,시군구명,읍면동 코,읍면동명,관리기관,전화번호,경도,위도,세부위치,운영시간,운영요일,안심귀갓길,안심귀갓_1,비고,데이터 기,이미지명,center_lon,center_lat,geometry_wkt,source_dataset
1159010200_17_S02,402,1162000000,서울특별시 관악구,1162010100,봉천동,관악경찰서,02-876-3021,126.931526,37.492588,서울특별시 관악구 당곡6나길 33,0000_2400,501,1159010200_17,동작안심17,CU 관악첼시점,20221118,1159010200_17_S02_402.jpeg,126.931526,37.492588,POINT (126.931526 37.492588),Seoul Safe Route Services SHP
1162010200_14_S01,402,1162000000,서울특별시 관악구,1162010200,신림동,관악경찰서,02-876-3021,126.92015,37.474136,서울특별시 관악구 법원단지길 48,0000_2400,501,1162010200_14,관악안심14,GS25 신림법원단지,20221118,1162010200_14_S01_402.jpeg,126.92015,37.474136,POINT (126.92015 37.474136),Seoul Safe Route Services SHP
1162010300_21_S01,402,1162000000,서울특별시 관악구,1162010300,남현동,관악경찰서,02-876-3021,126.98043,37.47484,서울특별시 관악구 승방4길 27,0000_2400,501,1162010300_21,관악안심21,GS25 남현번영,20221118,1162010300_21_S01_402.jpeg,126.98043,37.47484,POINT (126.98043 37.47484),Seoul Safe Route Services SHP
1162010300_21_S02,402,1162000000,서울특별시 관악구,1162010300,남현동,관악경찰서,02-876-3021,126.98132,37.473923,서울특별시 관악구 승방2길 2,0000_2400,501,1162010300_21,관악안심21,GS25 관악한일,20221118,1162010300_21_S02_402.jpeg,126.98132,37.473923,POINT (126.98132 37.473923),Seoul Safe Route Services SHP
1162010300_21_S03,401,1162000000,서울특별시 관악구,1162010300,남현동,스마트큐브,02-1666-0339,126.977875,37.47469,서울특별시 관악구 남현1가길 29,0000_2400,501,1162010300_21,관악안심21,남현동 주민센터,20221118,1162010300_21_S03_401.jpeg,126.977875,37.47469,POINT (126.977875 37.47469),Seoul Safe Route Services SHP
1162010200_20_S01,401,1162000000,서울특별시 관악구,1162010200,신림동,스마트큐브,02-1666-0339,126.9078,37.482563,서울특별시 관악구 조원로12길 25,0000_2400,501,1162010200_20,관악안심20,조원동주민센터,20221118,1162010200_20_S01_401.jpeg,126.9078,37.482563,POINT (126.9078 37.482563),Seoul Safe Route Services SHP
1162010200_17_S01,402,1162000000,서울특별시 관악구,1162010200,신림동,관악경찰서,02-876-3021,126.9213,37.48274,서울특별시 관악구 남부순환로 1536,0000_2400,501,1162010200_17,관악안심17,CU 관악진우점,20221118,1162010200_17_S01_402.jpeg,126.9213,37.48274,POINT (126.9213 37.48274),Seoul Safe Route Services SHP
1162010200_17_S02,401,1162000000,서울특별시 관악구,1162010200,신림동,스마트큐브,02-1666-0339,126.91943,37.48242,서울특별시 관악구 남부순환로 1520(신림동 1571-8),0000_2400,501,1162010200_17,관악안심17,현대오일뱅크 관악셀프점,20221118,1162010200_17_S02_401.jpeg,126.91943,37.48242,POINT (126.91943 37.48242),Seoul Safe Route Services SHP
1162010100_12_S01,402,1162000000,서울특별시 관악구,1162010100,봉천동,관악경찰서,02-876-3021,126.95164,37.48201,서울특별시 관악구 봉천로 466,0000_2400,501,1162010100_12,관악안심12,세븐일레븐 봉천해주점,20221118,1162010100_12_S01_402.jpeg,126.95164,37.48201,POINT (126.95164 37.48201),Seoul Safe Route Services SHP
1162010200_09_S06,402,1162000000,서울특별시 관악구,1162010200,신림동,관악경찰서,02-876-3021,126.93353,37.469902,서울특별시 관악구 호암로24길 6,0000_2400,501,1162010200_09,관악안심09,세븐일레븐 신림대학스타점,20221118,1162010200_09_S06_402.jpeg,126.93353,37.469902,POINT (126.93353 37.469902),Seoul Safe Route Services SHP
1162010200_09_S09,401,1162000000,서울특별시 관악구,1162010200,신림동,스마트큐브,02-1666-0339,126.93756,37.468575,서울특별시 관악구 대학길 48(신림동 818-20),0000_2400,501,1162010200_09,관악안심09,대학동치안센터,20221118,1162010200_09_S09_401.jpeg,126.93756,37.468575,POINT (126.93756 37.468575),Seoul Safe Route Services SHP
1162010200_09_S08,401,1162000000,서울특별시 관악구,1162010200,신림동,스마트큐브,02-1666-0339,126.93725,37.46768,서울특별시 관악구 대학10길 8-2(신림동 818-64),0000_2400,501,1162010200_09,관악안심09,신림여성회관,20221118,1162010200_09_S08_401.jpeg,126.93725,37.46768,POINT (126.93725 37.46768),Seoul Safe Route Services SHP
1162010200_09_S01,401,1162000000,서울특별시 관악구,1162010200,신림동,스마트큐브,02-1666-0339,126.93524,37.470245,서울특별시 관악구 신림로23길 17,0000_2400,501,1162010200_09,관악안심09,관악청소년회관,20221118,1162010200_09_S01_401.jpeg,126.93524,37.470245,POINT (126.93524 37.470245),Seoul Safe Route Services SHP
1162010200_09_S02,402,1162000000,서울특별시 관악구,1162010200,신림동,관악경찰서,02-876-3021,126.93622,37.470448,서울특별시 관악구 호암로26길 47,0000_2400,501,1162010200_09,관악안심09,CU 신림테라스점,20221118,1162010200_09_S02_402.jpeg,126.93622,37.470448,POINT (126.93622 37.470448),Seoul Safe Route Services SHP
1162010200_09_S03,401,1162000000,서울특별시 관악구,1162010200,신림동,스마트큐브,02-1666-0339,126.93682,37.47019,서울특별시 관악구 호암로26길 58 대학동 (신림동),0730_2330,501,1162010200_09,관악안심09,신한은행 신림대학동 지점,20221118,1162010200_09_S03_401.jpeg,126.93682,37.47019,POINT (126.93682 37.47019),Seoul Safe Route Services SHP
1162010200_09_S04,402,1162000000,서울특별시 관악구,1162010200,신림동,관악경찰서,02-876-3021,126.93215,37.46775,서울특별시 관악구 호암로20길 1,0000_2400,501,1162010200_09,관악안심09,CU 관악미림점,20221118,1162010200_09_S04_402.jpeg,126.93215,37.46775,POINT (126.93215 37.46775),Seoul Safe Route Services SHP
1162010200_09_S05,402,1162000000,서울특별시 관악구,1162010200,신림동,관악경찰서,02-876-3021,126.933304,37.46886,서울특별시 관악구 호암로26가길 43,0000_2400,501,1162010200_09,관악안심09,CU 관악동원점,20221118,1162010200_09_S05_402.jpeg,126.933304,37.46886,POINT (126.933304 37.46886),Seoul Safe Route Services SHP
1162010200_09_S07,402,1162000000,서울특별시 관악구,1162010200,신림동,관악경찰서,02-876-3021,126.93574,37.467045,서울특별시 관악구 호암로20길 67,0000_2400,501,1162010200_09,관악안심09,세븐일레븐 관악미림점,20221118,1162010200_09_S07_402.jpeg,126.93574,37.467045,POINT (126.93574 37.467045),Seoul Safe Route Services SHP
1162010100_08_S02,402,1162000000,서울특별시 관악구,1162010100,봉천동,관악경찰서,02-876-3021,126.93944,37.48058,서울특별시 관악구 장군봉7길 2,0000_2400,501,1162010100_08,관악안심08,GS25 관악봉림점,20221118,1162010100_08_S02_402.jpeg,126.93944,37.48058,POINT (126.93944 37.48058),Seoul Safe Route Services SHP
1162010100_08_S01,402,1162000000,서울특별시 관악구,1162010100,봉천동,관악경찰서,02-876-3021,126.9406,37.48254,서울특별시 관악구 남부순환로 1716,0000_2400,501,1162010100_08,관악안심08,세븐일레븐 봉천남부점,20221118,1162010100_08_S01_402.jpeg,126.9406,37.48254,POINT (126.9406 37.48254),Seoul Safe Route Services SHP
1162010200_07_S01,402,1162000000,서울특별시 관악구,1162010200,신림동,관악경찰서,02-876-3021,126.93392,37.484512,서울특별시 관악구 남부순환로 1648,0000_2400,501,1162010200_07,관악안심07,GS25 신림두림점,20221118,1162010200_07_S01_402.jpeg,126.93392,37.484512,POINT (126.93392 37.484512),Seoul Safe Route Services SHP
1162010100_05_S01,402,1162000000,서울특별시 관악구,1162010100,봉천동,관악경찰서,02-876-3021,126.962555,37.47815,서울특별시 관악구 솔밭로 5,0000_2400,501,1162010100_05,관악안심05,CU 관악낙성점,20221118,1162010100_05_S01_402.jpeg,126.962555,37.47815,POINT (126.962555 37.47815),Seoul Safe Route Services SHP
1162010200_04_S03,401,1162000000,서울특별시 관악구,1162010200,신림동,스마트큐브,02-1666-0339,126.93137,37.47977,서울특별시 관악구 신림로 282(신림동 1641-65),0000_2400,501,1162010200_04,관악안심04,서원동 주민센터,20221118,1162010200_04_S03_401.jpeg,126.93137,37.47977,POINT (126.93137 37.47977),Seoul Safe Route Services SHP
1162010200_04_S01,402,1162000000,서울특별시 관악구,1162010200,신림동,관악경찰서,02-876-3021,126.93181,37.47926,서울특별시 관악구 신림로 274,0000_2400,501,1162010200_04,관악안심04,CU 관악서원점,20221118,1162010200_04_S01_402.jpeg,126.93181,37.47926,POINT (126.93181 37.47926),Seoul Safe Route Services SHP
1162010200_04_S02,402,1162000000,서울특별시 관악구,1162010200,신림동,관악경찰서,02-876-3021,126.93215,37.478954,서울특별시 관악구 신림로 270,0000_2400,501,1162010200_04,관악안심04,미니스톱 신림본점,20221118,1162010200_04_S02_402.jpeg,126.93215,37.478954,POINT (126.93215 37.478954),Seoul Safe Route Services SHP
1162010100_03_S01,402,1162000000,서울특별시 관악구,1162010100,봉천동,관악경찰서,02-876-3021,126.93617,37.488834,서울특별시 관악구 봉천로21나길 35 1층,0000_2400,501,1162010100_03,관악안심03,GS25 봉천동신점,20221118,1162010100_03_S01_402.jpeg,126.93617,37.488834,POINT (126.93617 37.488834),Seoul Safe Route Services SHP
1162010100_03_S02,402,1162000000,서울특별시 관악구,1162010100,봉천동,관악경찰서,02-876-3021,126.935005,37.486706,서울특별시 관악구 봉천로 307,0000_2400,501,1162010100_03,관악안심03,CU 관악보라매점,20221118,1162010100_03_S02_402.jpeg,126.935005,37.486706,POINT (126.935005 37.486706),Seoul Safe Route Services SHP
