권역,출처,매물ID,매물URL,매물명,주소,위도,경도,주거유형,보증금_만원,월세_만원,관리비_만원,가격표기,층정보,계약면적_m2,전용면적_m2,방향,확인일자,설명,원문태그,서울대거리_m,기준역거리_m,가까운기준점,편의성,편의성_라벨,안전도,공동현관_비밀번호,지상층여부,대로변_가까움,CCTV,관리인_상주,가로등
서울대입구역,synthetic_market_model,SYN0001,,봉천동 원룸 001,서울 관악구 봉천동,37.4783088,126.9551304,원룸,950,62,10,월세 950/62,4/5층,26.9,21.2,남향,2026.06.09,신축/준신축; 엘리베이터; 주차 가능; 복층; 채광 양호; 즉시입주 가능; 역세권 도보권; 학교 접근성 양호,신축/준신축; 엘리베이터; 주차 가능; 복층,2043,387,서울대입구역,10,신축/준신축; 엘리베이터; 주차 가능; 복층; 채광 양호; 즉시입주 가능; 역세권 도보권; 학교 접근성 양호,,X,O,O,O,X,O
서울대입구역,synthetic_market_model,SYN0002,,봉천동 원룸 002,서울 관악구 봉천동,37.4792744,126.9475067,원룸,1400,66,6,"월세 1,400/66",반지하/5층,20.4,16.2,남서향,2026.05.18,옵션 언급; 엘리베이터; 채광 양호; 즉시입주 가능; 역세권 도보권,옵션 언급; 엘리베이터; 채광 양호; 즉시입주 가능,2201,507,서울대입구역,8,옵션 언급; 엘리베이터; 채광 양호; 즉시입주 가능; 역세권 도보권,,O,X,X,X,X,O
서울대입구역,synthetic_market_model,SYN0003,,봉천동 투룸 003,서울 관악구 봉천동,37.4821811,126.9604439,투룸,1100,67,6,"월세 1,100/67",반지하/3층,58.8,44.7,북향,2026.06.03,풀옵션; 엘리베이터; 투룸 구조; 기준역 도보권,풀옵션; 엘리베이터; 투룸 구조; 기준역 도보권,2549,690,서울대입구역,7,풀옵션; 엘리베이터; 투룸 구조; 기준역 도보권,,O,X,O,O,X,O
서울대입구역,synthetic_market_model,SYN0004,,봉천동 투룸 004,서울 관악구 봉천동,37.4831574,126.9526622,투룸,2700,81,8,"월세 2,700/81",반지하/4층,54.6,43.5,북향,2026.05.27,옵션 언급; 투룸 구조; 역세권 도보권,옵션 언급; 투룸 구조; 역세권 도보권,2576,215,서울대입구역,7,옵션 언급; 투룸 구조; 역세권 도보권,,X,X,O,X,O,O
서울대입구역,synthetic_market_model,SYN0005,,봉천동 투룸 005,서울 관악구 봉천동,37.486455,126.9561091,투룸,1500,62,6,"월세 1,500/62",3/4층,64.3,45.1,남향,2026.05.18,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조; 채광 양호; 기준역 도보권,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조,2953,655,서울대입구역,8,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조; 채광 양호; 기준역 도보권,,O,O,X,O,X,O
서울대입구역,synthetic_market_model,SYN0006,,봉천동 원룸 006,서울 관악구 봉천동,37.4811555,126.9532726,원룸,2200,50,11,"월세 2,200/50",1/4층,32.4,22.7,남서향,2026.05.18,신축/준신축; 엘리베이터; 채광 양호; 역세권 도보권,신축/준신축; 엘리베이터; 채광 양호; 역세권 도보권,2353,49,서울대입구역,8,신축/준신축; 엘리베이터; 채광 양호; 역세권 도보권,,O,X,X,O,X,O
서울대입구역,synthetic_market_model,SYN0007,,봉천동 빌라 007,서울 관악구 봉천동,37.4776845,126.9511528,빌라,1200,59,8,"월세 1,200/59",2/5층,50.6,40.1,남동향,2026.05.18,신축/준신축; 풀옵션; 주차 가능; 채광 양호; 즉시입주 가능; 역세권 도보권; 학교 접근성 양호,신축/준신축; 풀옵션; 주차 가능; 채광 양호,1975,416,서울대입구역,10,신축/준신축; 풀옵션; 주차 가능; 채광 양호; 즉시입주 가능; 역세권 도보권; 학교 접근성 양호,,O,O,O,O,O,O
서울대입구역,synthetic_market_model,SYN0008,,봉천동 빌라 008,서울 관악구 봉천동,37.4798783,126.9522757,빌라,1900,54,10,"월세 1,900/54",반지하/4층,61.2,43.8,남향,2026.06.09,풀옵션; 채광 양호; 역세권 도보권,풀옵션; 채광 양호; 역세권 도보권,2212,153,서울대입구역,7,풀옵션; 채광 양호; 역세권 도보권,,X,X,O,O,O,O
서울대입구역,synthetic_market_model,SYN0009,,봉천동 원룸 009,서울 관악구 봉천동,37.4813011,126.9529657,원룸,2600,64,13,"월세 2,600/64",고층 14/15층,24.5,18.1,동향,2026.05.18,신축/준신축; 옵션 언급; 주차 가능; 복층; 역세권 도보권,신축/준신축; 옵션 언급; 주차 가능; 복층,2369,24,서울대입구역,9,신축/준신축; 옵션 언급; 주차 가능; 복층; 역세권 도보권,,O,O,X,O,O,O
서울대입구역,synthetic_market_model,SYN0010,,봉천동 분리형원룸 010,서울 관악구 봉천동,37.4816198,126.9526057,분리형원룸,1950,47,11,"월세 1,950/47",반지하/3층,31.9,23.0,남향,2026.05.27,옵션 언급; 분리형; 채광 양호; 역세권 도보권,옵션 언급; 분리형; 채광 양호; 역세권 도보권,2405,45,서울대입구역,8,옵션 언급; 분리형; 채광 양호; 역세권 도보권,,O,X,X,X,X,O
서울대입구역,synthetic_market_model,SYN0011,,봉천동 원룸 011,서울 관악구 봉천동,37.4849849,126.9539595,원룸,2650,51,9,"월세 2,650/51",2/4층,24.2,19.0,북향,2026.05.18,신축/준신축; 풀옵션; 역세권 도보권,신축/준신축; 풀옵션; 역세권 도보권,2779,433,서울대입구역,8,신축/준신축; 풀옵션; 역세권 도보권,,O,O,X,O,X,O
서울대입구역,synthetic_market_model,SYN0012,,봉천동 투룸 012,서울 관악구 봉천동,37.4807105,126.9590818,투룸,2800,62,7,"월세 2,800/62",고층 7/8층,58.2,42.1,동향,2026.05.18,신축/준신축; 풀옵션; 엘리베이터; 투룸 구조; 역세권 도보권,신축/준신축; 풀옵션; 엘리베이터; 투룸 구조,2361,564,서울대입구역,9,신축/준신축; 풀옵션; 엘리베이터; 투룸 구조; 역세권 도보권,,O,O,X,O,X,O
서울대입구역,synthetic_market_model,SYN0013,,봉천동 분리형원룸 013,서울 관악구 봉천동,37.479744,126.9516539,분리형원룸,2450,59,5,"월세 2,450/59",반지하/5층,26.2,19.9,북향,2026.06.09,풀옵션; 주차 가능; 분리형; 역세권 도보권; 학교 접근성 양호,풀옵션; 주차 가능; 분리형; 역세권 도보권,2200,188,서울대입구역,8,풀옵션; 주차 가능; 분리형; 역세권 도보권; 학교 접근성 양호,,X,X,X,O,X,X
서울대입구역,synthetic_market_model,SYN0014,,봉천동 원룸 014,서울 관악구 봉천동,37.4826779,126.9561516,원룸,2550,45,10,"월세 2,550/45",2/5층,31.5,23.6,남서향,2026.05.18,옵션 언급; 주차 가능; 채광 양호; 역세권 도보권,옵션 언급; 주차 가능; 채광 양호; 역세권 도보권,2536,344,서울대입구역,8,옵션 언급; 주차 가능; 채광 양호; 역세권 도보권,,X,O,O,O,X,O
서울대입구역,synthetic_market_model,SYN0015,,봉천동 원룸 015,서울 관악구 봉천동,37.4834764,126.9599236,원룸,1400,57,7,"월세 1,400/57",고층 12/15층,28.8,21.8,남향,2026.05.18,옵션 언급; 채광 양호; 기준역 도보권,옵션 언급; 채광 양호; 기준역 도보권,2678,684,서울대입구역,6,옵션 언급; 채광 양호; 기준역 도보권,,X,O,X,O,X,O
서울대입구역,synthetic_market_model,SYN0016,,봉천동 빌라 016,서울 관악구 봉천동,37.4844619,126.9556332,빌라,2500,50,8,"월세 2,500/50",고층 5/8층,53.5,35.7,남동향,2026.06.03,옵션 언급; 엘리베이터; 주차 가능; 채광 양호; 역세권 도보권,옵션 언급; 엘리베이터; 주차 가능; 채광 양호,2729,443,서울대입구역,8,옵션 언급; 엘리베이터; 주차 가능; 채광 양호; 역세권 도보권,,O,O,X,X,X,X
서울대입구역,synthetic_market_model,SYN0017,,봉천동 투룸 017,서울 관악구 봉천동,37.4820639,126.9451894,투룸,2050,85,8,"월세 2,050/85",3/7층,46.2,33.0,남향,2026.05.27,신축/준신축; 풀옵션; 투룸 구조; 채광 양호; 기준역 도보권,신축/준신축; 풀옵션; 투룸 구조; 채광 양호,2553,670,서울대입구역,8,신축/준신축; 풀옵션; 투룸 구조; 채광 양호; 기준역 도보권,,O,O,O,O,X,O
서울대입구역,synthetic_market_model,SYN0018,,봉천동 빌라 018,서울 관악구 봉천동,37.4811843,126.9526664,빌라,1900,62,6,"월세 1,900/62",4/5층,55.6,37.5,북향,2026.05.27,신축/준신축; 옵션 언급; 엘리베이터; 역세권 도보권,신축/준신축; 옵션 언급; 엘리베이터; 역세권 도보권,2356,5,서울대입구역,8,신축/준신축; 옵션 언급; 엘리베이터; 역세권 도보권,,O,O,O,O,X,O
서울대입구역,synthetic_market_model,SYN0019,,봉천동 빌라 019,서울 관악구 봉천동,37.4834567,126.9490149,빌라,700,69,9,월세 700/69,반지하/3층,39.1,26.7,남동향,2026.06.03,신축/준신축; 풀옵션; 엘리베이터; 주차 가능; 복층; 채광 양호; 역세권 도보권,신축/준신축; 풀옵션; 엘리베이터; 주차 가능,2634,410,서울대입구역,10,신축/준신축; 풀옵션; 엘리베이터; 주차 가능; 복층; 채광 양호; 역세권 도보권,,O,X,X,X,O,O
서울대입구역,synthetic_market_model,SYN0020,,봉천동 빌라 020,서울 관악구 봉천동,37.4813756,126.9527125,빌라,1050,61,8,"월세 1,050/61",고층 10/12층,53.5,38.6,서향,2026.06.03,풀옵션; 즉시입주 가능; 역세권 도보권,풀옵션; 즉시입주 가능; 역세권 도보권,2378,17,서울대입구역,7,풀옵션; 즉시입주 가능; 역세권 도보권,,X,O,O,O,X,O
서울대입구역,synthetic_market_model,SYN0021,,봉천동 빌라 021,서울 관악구 봉천동,37.4788864,126.9514838,빌라,850,63,13,월세 850/63,반지하/5층,47.8,32.0,남서향,2026.06.09,신축/준신축; 옵션 언급; 주차 가능; 채광 양호; 역세권 도보권; 학교 접근성 양호,신축/준신축; 옵션 언급; 주차 가능; 채광 양호,2106,280,서울대입구역,9,신축/준신축; 옵션 언급; 주차 가능; 채광 양호; 역세권 도보권; 학교 접근성 양호,,O,X,X,O,X,O
서울대입구역,synthetic_market_model,SYN0022,,봉천동 원룸 022,서울 관악구 봉천동,37.4794481,126.9531714,원룸,1050,50,8,"월세 1,050/50",1/3층,28.7,21.9,남향,2026.06.09,신축/준신축; 풀옵션; 엘리베이터; 채광 양호; 역세권 도보권; 학교 접근성 양호,신축/준신축; 풀옵션; 엘리베이터; 채광 양호,2163,200,서울대입구역,9,신축/준신축; 풀옵션; 엘리베이터; 채광 양호; 역세권 도보권; 학교 접근성 양호,,O,X,X,O,X,X
서울대입구역,synthetic_market_model,SYN0023,,봉천동 빌라 023,서울 관악구 봉천동,37.4811676,126.9525273,빌라,1700,50,8,"월세 1,700/50",2/4층,61.1,43.1,남향,2026.06.03,채광 양호; 역세권 도보권,채광 양호; 역세권 도보권,2355,17,서울대입구역,7,채광 양호; 역세권 도보권,,O,O,X,X,X,O
서울대입구역,synthetic_market_model,SYN0024,,봉천동 원룸 024,서울 관악구 봉천동,37.4806293,126.9547935,원룸,2400,53,6,"월세 2,400/53",반지하/4층,27.1,20.1,남동향,2026.05.18,풀옵션; 엘리베이터; 채광 양호; 역세권 도보권,풀옵션; 엘리베이터; 채광 양호; 역세권 도보권,2299,194,서울대입구역,8,풀옵션; 엘리베이터; 채광 양호; 역세권 도보권,,O,X,X,O,X,O
서울대입구역,synthetic_market_model,SYN0025,,봉천동 분리형원룸 025,서울 관악구 봉천동,37.4837045,126.9510056,분리형원룸,2200,65,13,"월세 2,200/65",반지하/4층,32.5,25.7,동향,2026.06.03,신축/준신축; 풀옵션; 엘리베이터; 분리형; 즉시입주 가능; 역세권 도보권,신축/준신축; 풀옵션; 엘리베이터; 분리형,2643,314,서울대입구역,10,신축/준신축; 풀옵션; 엘리베이터; 분리형; 즉시입주 가능; 역세권 도보권,,O,X,X,O,O,O
서울대입구역,synthetic_market_model,SYN0026,,봉천동 분리형원룸 026,서울 관악구 봉천동,37.4768728,126.9534917,분리형원룸,2000,59,7,"월세 2,000/59",6/7층,30.7,24.3,남동향,2026.06.03,주차 가능; 분리형; 채광 양호; 역세권 도보권; 학교 접근성 양호,주차 가능; 분리형; 채광 양호; 역세권 도보권,1877,487,서울대입구역,8,주차 가능; 분리형; 채광 양호; 역세권 도보권; 학교 접근성 양호,,X,O,X,X,X,O
서울대입구역,synthetic_market_model,SYN0027,,봉천동 원룸 027,서울 관악구 봉천동,37.4830816,126.9515768,원룸,2800,54,7,"월세 2,800/54",3/4층,22.7,16.2,동향,2026.05.27,신축/준신축; 풀옵션; 역세권 도보권,신축/준신축; 풀옵션; 역세권 도보권,2571,230,서울대입구역,8,신축/준신축; 풀옵션; 역세권 도보권,,O,O,O,O,X,O
서울대입구역,synthetic_market_model,SYN0028,,봉천동 원룸 028,서울 관악구 봉천동,37.4799587,126.9523026,원룸,2800,61,11,"월세 2,800/61",3/7층,28.4,19.9,남향,2026.06.03,신축/준신축; 풀옵션; 채광 양호; 역세권 도보권,신축/준신축; 풀옵션; 채광 양호; 역세권 도보권,2221,144,서울대입구역,9,신축/준신축; 풀옵션; 채광 양호; 역세권 도보권,,O,O,X,X,X,O
서울대입구역,synthetic_market_model,SYN0029,,봉천동 빌라 029,서울 관악구 봉천동,37.4787879,126.953588,빌라,2200,54,5,"월세 2,200/54",반지하/3층,48.3,36.2,남향,2026.06.09,풀옵션; 주차 가능; 복층; 채광 양호; 역세권 도보권; 학교 접근성 양호,풀옵션; 주차 가능; 복층; 채광 양호,2090,280,서울대입구역,9,풀옵션; 주차 가능; 복층; 채광 양호; 역세권 도보권; 학교 접근성 양호,,X,X,X,X,X,X
서울대입구역,synthetic_market_model,SYN0030,,봉천동 투룸 030,서울 관악구 봉천동,37.4813646,126.9524287,투룸,1500,66,11,"월세 1,500/66",반지하/5층,46.4,31.3,남향,2026.06.09,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조; 채광 양호; 즉시입주 가능; 역세권 도보권,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조,2377,29,서울대입구역,9,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조; 채광 양호; 즉시입주 가능; 역세권 도보권,,X,X,X,O,O,O
낙성대역,synthetic_market_model,SYN0031,,인헌동 원룸 031,서울 관악구 인헌동,37.477204,126.9633726,원룸,850,54,4,월세 850/54,반지하/3층,28.3,19.7,남서향,2026.06.03,신축/준신축; 옵션 언급; 채광 양호; 역세권 도보권; 학교 접근성 양호,신축/준신축; 옵션 언급; 채광 양호; 역세권 도보권,2114,41,낙성대역,9,신축/준신축; 옵션 언급; 채광 양호; 역세권 도보권; 학교 접근성 양호,,X,X,X,O,X,X
낙성대역,synthetic_market_model,SYN0032,,인헌동 빌라 032,서울 관악구 인헌동,37.4819227,126.9581065,빌라,1300,42,7,"월세 1,300/42",1/4층,46.0,33.7,남서향,2026.05.18,주차 가능; 채광 양호; 기준역 도보권,주차 가능; 채광 양호; 기준역 도보권,2477,742,낙성대역,6,주차 가능; 채광 양호; 기준역 도보권,,O,X,X,O,O,X
낙성대역,synthetic_market_model,SYN0033,,인헌동 투룸 033,서울 관악구 인헌동,37.4803672,126.9621181,투룸,1200,53,7,"월세 1,200/53",1/4층,42.4,31.4,서향,2026.05.27,주차 가능; 투룸 구조; 즉시입주 가능; 역세권 도보권,주차 가능; 투룸 구조; 즉시입주 가능; 역세권 도보권,2398,406,낙성대역,7,주차 가능; 투룸 구조; 즉시입주 가능; 역세권 도보권,,O,X,O,O,X,X
낙성대역,synthetic_market_model,SYN0034,,인헌동 원룸 034,서울 관악구 인헌동,37.4718907,126.9680623,원룸,850,39,6,월세 850/39,5/7층,21.2,16.9,남동향,2026.06.09,풀옵션; 주차 가능; 채광 양호; 즉시입주 가능; 기준역 도보권; 학교 접근성 양호,풀옵션; 주차 가능; 채광 양호; 즉시입주 가능,1864,680,낙성대역,7,풀옵션; 주차 가능; 채광 양호; 즉시입주 가능; 기준역 도보권; 학교 접근성 양호,,X,O,O,X,X,O
낙성대역,synthetic_market_model,SYN0035,,인헌동 투룸 035,서울 관악구 인헌동,37.4728713,126.9569775,투룸,1000,71,4,"월세 1,000/71",3/4층,58.7,43.4,남동향,2026.06.09,풀옵션; 투룸 구조; 채광 양호; 즉시입주 가능; 기준역 도보권; 학교 접근성 양호,풀옵션; 투룸 구조; 채광 양호; 즉시입주 가능,1470,744,낙성대역,8,풀옵션; 투룸 구조; 채광 양호; 즉시입주 가능; 기준역 도보권; 학교 접근성 양호,,O,O,X,O,X,O
낙성대역,synthetic_market_model,SYN0036,,인헌동 투룸 036,서울 관악구 인헌동,37.4795452,126.9637428,투룸,950,70,10,월세 950/70,반지하/3층,44.7,32.8,남향,2026.06.03,신축/준신축; 옵션 언급; 주차 가능; 투룸 구조; 채광 양호; 즉시입주 가능; 역세권 도보권,신축/준신축; 옵션 언급; 주차 가능; 투룸 구조,2365,290,낙성대역,10,신축/준신축; 옵션 언급; 주차 가능; 투룸 구조; 채광 양호; 즉시입주 가능; 역세권 도보권,,O,X,X,O,O,O
낙성대역,synthetic_market_model,SYN0037,,인헌동 분리형원룸 037,서울 관악구 인헌동,37.4755695,126.961939,분리형원룸,1450,50,9,"월세 1,450/50",반지하/4층,28.0,21.0,남서향,2026.05.27,주차 가능; 분리형; 채광 양호; 역세권 도보권; 학교 접근성 양호,주차 가능; 분리형; 채광 양호; 역세권 도보권,1896,216,낙성대역,8,주차 가능; 분리형; 채광 양호; 역세권 도보권; 학교 접근성 양호,,O,X,O,O,X,O
낙성대역,synthetic_market_model,SYN0038,,인헌동 원룸 038,서울 관악구 인헌동,37.4788887,126.9625808,원룸,1050,50,8,"월세 1,050/50",3/7층,35.6,23.9,동향,2026.06.09,신축/준신축; 풀옵션; 엘리베이터; 주차 가능; 역세권 도보권,신축/준신축; 풀옵션; 엘리베이터; 주차 가능,2259,238,낙성대역,9,신축/준신축; 풀옵션; 엘리베이터; 주차 가능; 역세권 도보권,,O,O,X,O,O,O
낙성대역,synthetic_market_model,SYN0039,,인헌동 오피스텔 039,서울 관악구 인헌동,37.4775234,126.9642974,오피스텔,950,57,5,월세 950/57,4/5층,32.2,22.3,동향,2026.05.27,신축/준신축; 풀옵션; 엘리베이터; 주차 가능; 역세권 도보권; 학교 접근성 양호,신축/준신축; 풀옵션; 엘리베이터; 주차 가능,2182,84,낙성대역,9,신축/준신축; 풀옵션; 엘리베이터; 주차 가능; 역세권 도보권; 학교 접근성 양호,,O,O,X,O,O,O
낙성대역,synthetic_market_model,SYN0040,,인헌동 빌라 040,서울 관악구 인헌동,37.4792574,126.9558322,빌라,1300,43,3,"월세 1,300/43",고층 4/8층,52.2,38.2,북향,2026.06.09,옵션 언급; 엘리베이터; 주차 가능; 복층; 기준역 도보권; 학교 접근성 양호,옵션 언급; 엘리베이터; 주차 가능; 복층,2154,740,낙성대역,8,옵션 언급; 엘리베이터; 주차 가능; 복층; 기준역 도보권; 학교 접근성 양호,,O,O,X,O,X,X
낙성대역,synthetic_market_model,SYN0041,,인헌동 원룸 041,서울 관악구 인헌동,37.4824945,126.9671762,원룸,2000,52,6,"월세 2,000/52",반지하/5층,27.6,19.0,남향,2026.06.09,신축/준신축; 풀옵션; 채광 양호; 기준역 도보권,신축/준신축; 풀옵션; 채광 양호; 기준역 도보권,2790,690,낙성대역,7,신축/준신축; 풀옵션; 채광 양호; 기준역 도보권,,O,X,O,O,X,O
낙성대역,synthetic_market_model,SYN0042,,인헌동 투룸 042,서울 관악구 인헌동,37.4771156,126.9639264,투룸,850,76,8,월세 850/76,1/5층,65.3,44.0,남향,2026.06.03,엘리베이터; 주차 가능; 투룸 구조; 채광 양호; 즉시입주 가능; 역세권 도보권; 학교 접근성 양호,엘리베이터; 주차 가능; 투룸 구조; 채광 양호,2127,29,낙성대역,9,엘리베이터; 주차 가능; 투룸 구조; 채광 양호; 즉시입주 가능; 역세권 도보권; 학교 접근성 양호,,O,X,O,X,X,O
낙성대역,synthetic_market_model,SYN0043,,인헌동 원룸 043,서울 관악구 인헌동,37.4791267,126.9645511,원룸,700,43,7,월세 700/43,반지하/3층,29.6,21.0,남동향,2026.06.09,풀옵션; 엘리베이터; 주차 가능; 채광 양호; 즉시입주 가능; 역세권 도보권,풀옵션; 엘리베이터; 주차 가능; 채광 양호,2352,255,낙성대역,9,풀옵션; 엘리베이터; 주차 가능; 채광 양호; 즉시입주 가능; 역세권 도보권,,O,X,O,O,X,O
낙성대역,synthetic_market_model,SYN0044,,인헌동 투룸 044,서울 관악구 인헌동,37.4732662,126.9601762,투룸,1150,54,7,"월세 1,150/54",4/6층,54.2,42.3,북향,2026.06.09,풀옵션; 투룸 구조; 역세권 도보권; 학교 접근성 양호,풀옵션; 투룸 구조; 역세권 도보권; 학교 접근성 양호,1599,512,낙성대역,7,풀옵션; 투룸 구조; 역세권 도보권; 학교 접근성 양호,,O,O,X,O,X,O
낙성대역,synthetic_market_model,SYN0045,,인헌동 투룸 045,서울 관악구 인헌동,37.4774194,126.9590718,투룸,950,69,8,월세 950/69,고층 7/10층,58.6,39.2,서향,2026.05.18,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조; 역세권 도보권; 학교 접근성 양호,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조,2006,411,낙성대역,9,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조; 역세권 도보권; 학교 접근성 양호,,X,O,O,O,X,O
